Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20150109;5;16845;16875,8
20150109;6;17741;17623,825
20150109;7;20375;20394,175
20150109;8;21962;21996,35
20150109;9;22500;22651,6
20150109;10;23095;22907,225
20150109;11;22875;22955,675
20150109;12;23152;23136,825
20150109;13;23228;23248,9
20150109;14;23262;23453,625
20150109;15;23018;23304,825
20150109;16;23085;23280,725
20150109;17;24268;24106,025
20150109;18;24432;23959,875
20150109;19;24108;23611,1
20150109;20;23818;23351,725
20150109;21;23108;22494,45
20150109;22;21650;20795,975
20150109;23;19935;19461,225
20150109;24;18520;18307,825
20150110;1;17000;17109,375
20150110;2;16200;16438,15
20150110;3;15800;16122,3
20150110;4;15700;15987,9
20150110;5;15700;15951,9
20150110;6;16000;16166,175
20150110;7;17200;17264,875
20150110;8;17800;18177,35
20150110;9;19050;19154,3
20150110;10;19850;20254,675
20150110;11;20250;20802,375
20150110;12;20350;21042,1
20150110;13;20350;20970,575
20150110;14;20500;20944,825
20150110;15;19900;20566,15
20150110;16;20250;20447,175
20150110;17;21550;21424,55
20150110;18;21450;21300,075
20150110;19;21100;20709,1
20150110;20;21000;20433,525
20150110;21;20300;19796,875
20150110;22;19000;18466,075
20150110;23;18000;17453,475
20150110;24;16700;16345,75
20150111;1;15750;15314,525
20150111;2;15050;14609,4
20150111;3;14550;14299,225
20150111;4;14350;14179,85
20150111;5;14350;14214,15
20150111;6;14500;14324,275
20150111;7;15150;14840,6
20150111;8;15350;15034,2
20150111;9;16450;15693,925
20150111;10;17450;16765,9
20150111;11;17850;17396,2
20150111;12;18150;17880,6
20150111;13;18250;18036,725
20150111;14;18450;18296,55
20150111;15;18050;18138,425
20150111;16;18250;18034,2
20150111;17;19850;19390,225
20150111;18;20050;19787,5
20150111;19;20250;19818,125
20150111;20;20250;19846,775
20150111;21;19700;19064,275
20150111;22;18800;18117,475
20150111;23;17900;17297,2
20150111;24;16600;16155,175
20150112;1;15400;15221,075
20150112;2;14950;14720,175
20150112;3;14750;14576,7
20150112;4;14900;14681,625
20150112;5;15500;15076,775
20150112;6;17300;16274,075
20150112;7;20700;19562,55
20150112;8;21750;21536,25
20150112;9;22750;22428,9
20150112;10;22950;22785,85
20150112;11;23100;22930,875
20150112;12;23250;23036,5
20150112;13;23300;23225,925
20150112;14;23550;23273,775
20150112;15;23050;23052,225
20150112;16;23050;23136,6
20150112;17;24450;24102,85
20150112;18;24300;24189,7
20150112;19;23900;23864,075
20150112;20;23800;23689,1
20150112;21;23100;22875,175
20150112;22;21700;21300,675
20150112;23;20000;19659,275
20150112;24;18500;18269,475
20150113;1;17400;17135,15
20150113;2;16800;16607,425
20150113;3;16400;16256,4
20150113;4;16400;16202,55
20150113;5;16900;16499,925
20150113;6;18100;17465,375
20150113;7;21200;20165,575
20150113;8;22100;21816,15
20150113;9;22800;22308,925
20150113;10;23000;22451,25
20150113;11;23100;22427,925
20150113;12;23150;22613,2
20150113;13;23250;22524,425
20150113;14;23450;22491,75
20150113;15;23100;22183,85
20150113;16;23300;22072,075
20150113;17;24400;23491,775
20150113;18;24300;23899,3
20150113;19;23900;23709,975
20150113;20;23800;23596,625
20150113;21;23000;22798,05
20150113;22;21700;21092,475
